"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"68333","32965","6051","SBI Mutual Fund","SBI-ETF 10 Year GILT","INF200KA1JT1","Debt ETFs","N","Y","Government Securities"
"68371","32992","3583","ICICI Prudential Mutual Fund","ICICI Prudential NV20 ETF","INF109KC11V0","Equity ETFs","Y","Y","Broad Market"
"68433","33027","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 8-13 yr G-Sec LongTerm Gilt","INF204KB1882","Debt ETFs","Y","Y","Government Securities"
"68434","33066","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE Midcap Select ETF","INF109KC10W0","Equity ETFs","Y","Y","Broad Market"
"68472","33126","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life BSE Sensex ETF","INF209KB10E8","Equity ETFs","Y","Y","Broad Market"
"69011","33386","21271","Bandhan Mutual Fund","Bandhan S&P BSE Sensex ETF","INF194KA1T91","Equity ETFs","Y","N","Broad Market"
"69012","33385","21271","Bandhan Mutual Fund","Bandhan Nifty 50 ETF","INF194KA1U07","Equity ETFs","N","Y","Broad Market"
"71051","34837","35448","Axis Mutual Fund","Axis Nifty 50 ETF","INF846K01W98","Equity ETFs","N","Y","Broad Market"
"71108","34913","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 100 Low Volatility 30 ETF","INF109KC19U5","Equity ETFs","Y","Y","Broad Market"
"71419","34980","23411","UTI Mutual Fund","UTI Nifty Next 50 ETF","INF789F1AUW9","Equity ETFs","Y","Y","Broad Market"
"71694","35248","3583","ICICI Prudential Mutual Fund","Bharat 22 ETF","INF109KB15Y7","Equity ETFs","Y","Y","Broad Market"
"72338","35869","18585","DSP Mutual Fund","DSP BlackRock Liquid ETF","INF740KA1EU7","Debt ETFs","Y","Y","Liquid / Overnight"
"72651","36572","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE 500 ETF","INF109KC1V59","Equity ETFs","Y","Y","Broad Market"
"73220","37853","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Next 50 ETF","INF109KC1NS5","Equity ETFs","Y","Y","Broad Market"
"73289","38184","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE Liquid Rate ETF","INF109KC1KT9","Debt ETFs","Y","Y","Liquid / Overnight"
"73308","38157","6051","SBI Mutual Fund","SBI-ETF Sensex Next 50","INF200KA1VQ2","Equity ETFs","Y","N","Broad Market"
"73503","38843","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 50 ETF","INF769K01EG9","Equity ETFs","Y","Y","Broad Market"
"73671","38876","6051","SBI Mutual Fund","SBI - ETF Quality","INF200KA1WX6","Equity ETFs","N","Y","Broad Market"
"73703","39026","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty Next 50 ETF","INF209KB16D7","Equity ETFs","Y","Y","Broad Market"
"73869","39027","5431","Tata Mutual Fund","Tata Nifty 50 ETF","INF277K015R5","Equity ETFs","Y","Y","Broad Market"
"73947","39495","19712","Nippon India Mutual Fund","Nippon India ETF Nifty Midcap 150","INF204KB1V68","Equity ETFs","Y","Y","Broad Market"
"74019","39772","23411","UTI Mutual Fund","UTI BSE Sensex Next 50 ETF","INF789F1AUU3","Equity ETFs","Y","Y","Broad Market"
